# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	8	13	3	E	6.0378283e-02	1.2630660e+02	1.6486485e+02	-1.0000044e-02
0	0	8	14	0	T	6.7171149e-02	1.3870140e+02	1.6136017e+02	-1.0000002e-02
0	0	8	14	0	E	6.4009875e-02	1.3289056e+02	1.6499706e+02	-1.0000021e-02
0	0	8	14	1	T	6.8260245e-02	1.2735593e+02	1.6048833e+02	-9.9999998e-03
0	0	8	14	1	E	3.5369128e-02	1.3031450e+02	1.6359610e+02	-1.0000125e-02
0	0	8	14	2	T	6.6433005e-02	1.2662896e+02	1.6102528e+02	-1.0000042e-02
0	0	8	14	2	E	6.2949389e-02	1.3231343e+02	1.6377159e+02	-1.0000017e-02
0	0	8	14	3	T	6.8367057e-02	1.2886363e+02	1.6071698e+02	-1.0000019e-02
0	0	8	14	3	E	6.1736315e-02	1.3371951e+02	1.6372635e+02	-1.0000251e-02
0	0	8	15	0	T	6.2757544e-02	1.3614160e+02	1.7427835e+02	-1.0000001e-02
0	0	8	15	0	E	4.9475878e-02	1.3416327e+02	1.7257869e+02	-1.0000108e-02
0	0	8	15	1	T	5.9204154e-02	1.2682470e+02	1.7371669e+02	-1.0000002e-02
0	0	8	15	1	E	5.5663317e-02	1.3897920e+02	1.7131038e+02	-1.0000033e-02
0	0	8	15	2	T	5.3587012e-02	1.2235407e+02	1.7311057e+02	-1.0000002e-02
0	0	8	15	2	E	5.5068225e-02	1.3816042e+02	1.7195764e+02	-1.0000001e-02
0	0	8	15	3	T	6.2664084e-02	1.2554085e+02	1.7378337e+02	-9.9999998e-03
0	0	8	15	3	E	5.6159228e-02	1.3720190e+02	1.7169604e+02	-1.0000087e-02
0	0	8	16	0	T	6.8224005e-02	1.3865623e+02	1.6773978e+02	-1.0000066e-02
0	0	8	16	0	E	3.6612719e-02	1.2879945e+02	1.5973825e+02	-9.9999998e-03
0	0	8	16	1	T	6.8592124e-02	1.2891739e+02	1.6769711e+02	-9.9999998e-03
0	0	8	16	1	E	6.2094897e-02	1.3239603e+02	1.5976451e+02	-1.0000083e-02
0	0	8	16	2	T	6.8702750e-02	1.2649350e+02	1.6718057e+02	-1.0000001e-02
0	0	8	16	2	E	5.2443713e-02	1.2819069e+02	1.5960590e+02	-1.0000006e-02
0	0	8	16	3	T	6.8140082e-02	1.2730849e+02	1.6751477e+02	-1.0000002e-02
0	0	8	16	3	E	5.1840991e-02	1.2595173e+02	1.5987730e+02	-1.0000001e-02
0	0	8	17	0	T	6.8000846e-02	1.4088318e+02	1.6752086e+02	-1.0000001e-02
0	0	8	17	0	E	6.2300891e-02	1.1904501e+02	1.5826736e+02	-1.0000001e-02
